MM/DD/YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/8/2024 14:27:41,29.48,40.99,1.16.3,FR1,8,3.68,NaN,1,Right,Left,3,32,3,0,NaN,NaN,0.00
8/8/2024 14:27:43,29.47,40.97,1.16.3,FR1,8,3.68,NaN,1,Right,Left,3,33,3,0,NaN,NaN,0.00
8/8/2024 14:27:44,29.49,41.00,1.16.3,FR1,8,3.68,NaN,1,Right,Left,3,34,3,0,NaN,NaN,0.00
8/8/2024 14:27:46,29.48,41.01,1.16.3,FR1,8,3.69,NaN,1,Right,Left,3,35,3,0,NaN,NaN,0.09
8/8/2024 14:28:14,29.48,41.09,1.16.3,FR1,8,3.69,NaN,1,Left,Left,4,35,3,0,NaN,NaN,0.00
8/8/2024 14:28:23,29.48,41.13,1.16.3,FR1,8,3.68,5,1,Pellet,Left,4,35,4,0,1.52,1031,NaN
