Timestamp,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-10-10 15:26:26.864,24.17,35.10,1.16.3,FR1,4,4.19,NaN,1,Right,Left,27,131,16,0,NaN,NaN,0.13
2024-10-10 15:26:27.715,24.18,35.11,1.16.3,FR1,4,4.19,NaN,1,Right,Left,27,132,16,0,NaN,NaN,0.12
2024-10-10 15:26:28.557,24.18,35.12,1.16.3,FR1,4,4.19,NaN,1,Right,Left,27,133,16,0,NaN,NaN,0.11
2024-10-10 15:26:29.452,24.17,35.17,1.16.3,FR1,4,4.19,NaN,1,Right,Left,27,134,16,0,NaN,NaN,0.17
2024-10-10 15:26:40.986,24.19,35.14,1.16.3,FR1,4,4.19,NaN,1,Left,Left,28,134,16,0,NaN,NaN,0.16
2024-10-10 15:26:43.360,24.17,35.16,1.16.3,FR1,4,4.19,NaN,1,PelletInWell,Left,28,134,16,0,NaN,NaN,NaN
2024-10-10 15:26:43.907,24.19,35.14,1.16.3,FR1,4,4.19,2,1,Pellet,Left,28,134,17,0,0.48,1048,NaN
