Timestamp,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-10-10 15:22:28.267,24.08,35.27,1.16.3,FR1,4,4.19,NaN,1,Right,Left,27,127,16,0,NaN,NaN,0.23
2024-10-10 15:22:31.621,24.08,35.23,1.16.3,FR1,4,4.19,NaN,1,Right,Left,27,128,16,0,NaN,NaN,0.23
2024-10-10 15:22:36.330,24.10,35.23,1.16.3,FR1,4,4.19,NaN,1,Right,Left,27,129,16,0,NaN,NaN,0.23
